KMC,freq
국무총리,14
양재동,8
기업인,54
바른전자,5
담소,3
통신,224
구영,1
서울,419
서초구,9
참관,7
총리,27
자리,455
소질,37
과정,1302
교육개혁,62
기념,59
촬영,77
정부,1082
국민,524
체감,37
최선,93
동참,28
당부,27
올해,264
중학교,151
전면,64
시험,444
부담,208
탐색,159
점검,98
사항,181
마련,442
NT,5
재가,7
평점,75
영화에서처럼,7
타임머신,15
이동,283
애석,1
보고서,497
재생,171
온실,38
가스,89
저감,16
원자로,9
도시,672
편리,224
생활,848
자연보호,2
고성,11
문구,18
발돋움,6
서술,113
배제,30
실험,176
세미나,163
전시회,116
거론,20
현실성,2
분량,67
작성,238
영사,5
네이버,158
캡처,7
가장,27
이슈,261
사이,270
현존,37
기사,361
대립,47
구도,18
이목,22
가리 카스파로프,3
이전,255
IBM,78
체스,30
블루,42
기록,223
챔피언,16
공식,130
경기,241
최초,189
파고,32
구글 딥마인드,8
컴퓨터 바둑,2
프로,93
머신,89
러닝,137
미러,29
매치,6
학습,1525
경우의 수,12
바둑 기사,4
강점,94
단과,24
전승,11
한국기원,3
승부,14
자신감,106
무력,20
고요,79
첨언,6
우려,145
패배,18
개발사,1
비디오,50
게임,361
요령,13
획득,64
머리싸움,1
왓슨,45
상징,69
상향,12
신경망,22
접근,242
신경,100
처리,290
모방,57
설계,513
컴퓨터 구조,2
하향식,8
의미,999
저자,494
영향,667
역사,526
인하,14
반향,10
발걸음,12
풍요,109
유엔,149
초월,47
커즈와일,43
박사,223
모델,343
특이점,76
돌파,23
가속,151
추론,50
퍼지,2
상태,370
도달,66
예견,83
우주,241
물리학자,12
스티븐,9
호킹,1
완전,121
생존,182
위협,168
경고,69
필적,7
부정,215
입장,211
개념,652
레벨,49
1950년대,9
일반,397
정의,466
분류,120
객체,27
발전단계,2
제어,127
지칭,24
에어컨,16
청소기,10
세탁기,16
탑재,66
가전제품,10
고전,60
입력,131
출력,36
기보,11
베이스,14
청소,123
내비게이터,1
퍼즐,10
습득,204
자동,185
대부분,493
빅데이터,525
과거,636
네트웍,4
알고리즘,236
로직,1
수용,96
진화,286
이름,250
번역,180
구분,202
사물,187
이고,91
투자,559
경쟁,479
규모,422
현황,145
글로벌,543
달러,207
다트머스 회의,2
학문,222
년대,130
한계,251
봉착,12
프로젝트,520
취소,36
지원,1239
중단,40
1980년대,23
해법,43
전파,46
각광,52
1990년대,29
하드웨어,486
둔화,6
퍼지 논리,1
제안,201
응용,150
2000년대,34
적용,475
생성,78
대신,342
추출,45
이미지,207
간여,1
공지,101
능가,64
비젼,9
감시,143
보안,373
기기,255
공업,19
의료,405
용도,28
변경,58
기본,544
구성,458
공통,92
음성,71
스피치,43
변환,50
수신,28
명령,56
수행,366
자연어,13
NLP,1
솔루션,167
언어,309
대화,284
인지,344
양의,58
복합,181
생산성,119
획기적,55
교환,60
의사결정,112
차세대,100
정보처리,47
학술,95
인지능력,17
모사,9
검색,188
정확도,29
피로,37
결합,207
제조,184
생산,633
모니터링,40
최적,52
스케쥴,3
예지,13
보전,11
불량,22
예방,177
진단,236
처방,40
치료,386
헬스,111
신약,20
유전체,5
단백체,1
국방,28
안보,91
검출,8
조기,60
경보,13
워게임,1
시뮬레이션,33
전투,36
개인,1171
통역,17
유통,124
물류,77
추적,44
관제,7
범죄,115
차량,317
경비,14
방범,7
금융,316
트레이딩,1
심사,80
부정행위,5
탐사,23
그리드,31
저장,256
소비,308
최적화,73
법률,139
판례,19
국제간,2
비교,300
자문,68
투입,79
수급,33
가격,296
각종,201
텍스트,40
고객,272
이용,645
원자재,5
프로세스,53
최대한,85
탄력,35
조절,88
재고,24
판매,208
마케팅,205
전략,817
수립,183
집행,21
가능,125
합리,104
보편,231
소비자,216
오류,64
결정,390
기여,163
무장,29
후생,3
증폭,11
교육제도,25
대대적,18
균열,10
야기,40
사용자,133
학습자,213
상호작용,87
학교교육,159
직업훈련,9
예상,484
기법,91
평생학습,123
니즈,22
충족,102
유동,11
동반자,23
주변,236
육체노동,15
정신노동,6
입지,26
향후,281
가운데,218
자동화,356
사리,3
옥스포드,4
경제학자,37
숫자,106
중산층,20
이하,151
소득,249
생활수준,8
맺음말,6
속도,460
파장,12
한가지,31
자가,19
실용,87
200년,4
대량,110
지구,327
환경,1232
산업화,82
패러다임,274
전환,321
구성원,163
동향,156
정보통신정책연구원,12
포스트,130
휴먼,152
조용수,1
요시,27
대가,65
아이디어,400
날개,46
협력,460
엑스포,12
박람회,56
하네,34
중고등학생,59
업계,100
2016,42
성관,2
일산,19
킨텍스,13
전시장,42
10월 20일,5
토요일,42
관람,27
오전,108
오후,183
지로,12
교육정책,49
학계,50
윈윈,9
창업,369
다양,70
해서,114
인기,189
발굴,155
활성,272
해도,29
페스티벌,24
의주,4
일정,211
시간표,11
선배,30
오디션,9
날인,10
시상식,25
예정,305
신기술,91
한자리,8
3D,337
프린터,206
플리,19
케이,42
외국,110
에선,60
아이템,52
유명,71
해외,258
출시,54
구매,159
제일,90
운영,806
바람,92
가족,602
세하,33
홈페이지,235
한국산업기술진흥원,4
기업가,181
정신,429
재단,121
협의회,92
도봉,2
여울,2
부모교육,70
민혁,4
아이,1292
교실,212
수업,1216
강의실,48
대로,158
요약,135
일간지,3
데일리,20
메일,120
보도,51
특정,192
행위,127
정리,366
몸무게,14
재기,6
아침,157
사망자,13
시내,18
엄마,306
괜찮아,15
자녀,525
부모,740
텔레마,6
소매,15
판매업자,1
부동산,162
중개인,6
약사,28
펀드,77
매니저,42
변호사,124
세무사,15
공무원,202
대체,632
단수,6
작업,345
설계도,14
제작자,13
엔지니어,61
재료,163
생명,316
유전학,8
컴퓨터공학,73
용기,76
기계공학,19
홀로,89
그램,88
촉각,10
인터페이스,32
가상훈련,4
두뇌,123
워싱턴포스트,1
빅데이터 분석가,5
회계사,22
가우리,8
아이들,1283
컨설턴트,67
게이머,1
수리,39
기술자,66
관리자,65
개인정보,77
보호,299
자율주행,525
인테리어,31
무인,190
생체,73
외과,10
수술,97
홀로그래피,7
예술가,25
복제,142
치매,30
가치관,151
이란,113
추구,336
실현,336
목표,623
초등학생,81
경비원,15
마트,43
계산원,13
은행,131
직원,242
요리사,15
월급,19
평균,187
40,32
세금,109
덴마크,25
행복지수,21
귀천,3
영향력,124
강사,575
고등학생,490
투표,45
서명운동,2
정치인,62
뽑기,4
선거,87
목소리,148
미생,5
윤태호,1
질문,599
김대식,9
필수,295
지시,47
간섭,14
논리,199
상상력,228
빈곤,85
의견,423
긍정,352
반응,179
관심사,44
파악,231
혼자,216
명문,33
암기,111
활용,1501
몰입,128
온몸,8
우기,14
구청,8
타이어,19
사자,18
가까이,15
디테일,14
도봉구청,2
님과 함께,18
기념사진,7
교재,64
교구,22
느낌,213
놀이터,16
리모콘,1
서서,23
검정,12
놀이,161
스릴,2
박수,21
강아지,19
학원,562
기로,25
열쇠,41
작품,307
서랍,4
장도,7
그때,114
수도,50
하우스,94
인체,52
내부,138
문과,33
이과,27
예술인,5
합작,9
입구,47
대형,108
눈길,31
부품,88
코뿔소,2
숙제,37
여건,76
이안,3
공감,538
사진,461
효은,1
건양대학교,3
천안,17
동성고등학교,1
원어민,4
교사,1507
하버드,32
대학원,178
앤드,24
뉴욕,32
할렘,1
데모크라시,2
스쿨,116
교육청,245
공립,21
자율학교,2
교시,39
야간,27
자율학습,4
외국어,55
한국어,56
최우,25
지정,74
연방,28
교육부,201
5년,38
지역,796
계획,616
대한민국의 교육,8
기준,382
수출,70
대국,76
보내기,2
통해,86
전사,11
유래,18
단기간,21
고도,128
비결,25
후진국,11
수입,101
한류,10
정작,38
기초,293
배고픔,9
현상,456
붕괴,79
개혁,131
안이,9
증가,763
그래프,28
개편,174
해체,67
강박관념,4
탈피,37
새벽,20
함양,122
논란,40
수저론,3
헬조선,5
잣대,19
의식,337
문화지체,2
설정,203
순간,171
이제,339
타인,222
구축,442
해지,39
서양,34
3월,68
세기,58
하시나,9
마이너리티 리포트,16
기세,6
오늘날,208
스타일,116
공유경제,106
디맨드,9
여행,214
공존,142
허용,56
가상,376
정체성,111
격차,136
슈가,41
2045년,11
물리,128
치중,11
금요일,49
출근,37
퇴근,20
버드,8
본사,26
교육장,30
발전소,24
인사,128
초청,114
2013년 12월,1
시골,31
박경철,2
원장,219
명지대,10
유홍준,1
커뮤니케이션,85
김지현,2
서경덕,1
코리아,100
김태원,38
MBC,12
김진만,1
자기,139
계발,84
명사,27
연구원,153
9월 28일,2
호텔,117
교통,269
여명,92
국토연구원,3
공동,278
역할,918
버클리대학,1
로버트,2
기조,51
홍콩,37
벨기에,11
방법론,44
수요자,32
인프라,188
통행,6
미시,9
진기,2
연구개발,59
아바타,29
통행량,1
토지,37
대중교통,18
한국철도기술연구원,5
철도,31
기술연구,14
현대인,46
